plane,manufacturing_year,type,manufacturer,model,engines,seats,speed,engine,fuel_cc
N34111,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,,Turbo-fan,8265.960776
N34131,1998,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37737.11154
N34137,1999,Fixed wing multi engine,BOEING,757-224,2,178,,Turbo-jet,37514.19424
N341NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26699.18485
N341NW,1992,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39304.97382
N34222,1998,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28146.33251
N34282,2004,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27716.43584
N342NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26796.50119
N342NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38928.12973
N343NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26722.8083
N343NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38930.88998
N34455,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41920.68603
N34460,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41687.37436
N344AA,1992,Fixed wing multi engine,GULFSTREAM AEROSPACE,G-IV,2,22,,Turbo-fan,7125.317491
N344NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26531.87451
N344NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38791.65865
N344SW,1989,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,29160.13175
N345NB,,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,
N345NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39518.83121
N345SA,1987,Fixed wing multi engine,BOEING,737-3K2,2,149,,Turbo-jet,28591.37869
N346JB,2011,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,5424.665281
N346NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,27102.54961
N346SW,1989,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28310.43256
N347AA,1985,Rotorcraft,SIKORSKY,S-76A,2,14,,Turbo-shaft,7230.630502
N347NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26423.78179
N347NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39777.76556
N347SW,1989,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28769.75473
N348JB,2012,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,5601.732391
N348NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26843.94891
N348NW,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39135.17177
N349NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26658.05276
N349NW,1996,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39023.22087
N349SW,1989,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28816.47181
N350AA,1980,Fixed wing multi engine,PIPER,PA-31-350,2,8,162,Reciprocating,7291.913077
N350NA,1993,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39377.46531
N350SW,1989,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28199.78539
N351AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115167.0805
N351JB,2012,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,6382.920495
N351NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26929.83055
N351NW,1997,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39051.77909
N35204,2000,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27608.82308
N35260,2001,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27782.90247
N35271,2001,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28004.21434
N352AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115189.3617
N352NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26525.21358
N352NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39249.97003
N352SW,1990,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28043.86887
N353AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115520.8211
N353AT,2009,Fixed wing multi engine,BOEING,737-7BD,2,149,,Turbo-fan,27241.99497
N353JB,2012,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,5788.90195
N353NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26638.39741
N353NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39361.86957
N353SW,1990,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28353.50548
N35407,2001,Fixed wing multi engine,BOEING,737-924,2,191,,Turbo-fan,42233.39245
N354AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115348.9156
N354JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,5430.488437
N354NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26277.13573
N354NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38748.55863
N354SW,1991,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28468.89431
N355AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115527.4503
N355JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,6068.203148
N355NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26888.90187
N355NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38762.64484
N355SW,1991,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28293.08745
N356NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38545.74307
N356SW,1991,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28382.6412
N357AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115567.7317
N357NB,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,27090.83271
N357NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38452.20541
N357SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28631.9798
N358AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115512.7878
N358JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,5485.293719
N358NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26670.74589
N358NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39478.07026
N358SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28751.50359
N359AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,116008.6492
N359NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26876.86247
N359NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38630.66029
N359SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28613.11015
N360AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115736.5235
N360NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26371.63868
N360NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38982.17005
N360SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28490.2079
N361AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115790.2737
N361NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26579.01499
N361NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39364.18796
N361SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28783.75767
N361VA,2013,Fixed wing multi engine,AIRBUS,A320-214,2,182,,Turbo-fan,38662.07453
N36207,2000,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27854.18796
N36247,1999,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27618.42049
N36272,2001,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27771.16131
N36280,2003,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27768.81163
N362AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115784.3205
N362NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26514.85081
N362NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38959.50193
N362SW,1992,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28835.06285
N363AA,1988,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115635.6326
N363NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26719.31181
N363NW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39398.11739
N363SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28191.10869
N36444,2010,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41958.50939
N36447,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41978.41894
N36469,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41506.25413
N36472,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41828.77764
N36476,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42145.36861
N364AA,1973,Fixed wing multi engine,CESSNA,310Q,2,6,167,Reciprocating,8389.790661
N364NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,27063.07041
N364NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39025.8407
N364SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,27833.33623
N365AA,2001,Rotorcraft,AGUSTA SPA,A109E,2,8,,Turbo-shaft,5449.889005
N365NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26563.02452
N365NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39298.03505
N365SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28483.7668
N366AA,1991,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115582.0682
N366NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,27003.217
N366NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38980.74214
N366SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28011.46538
N367NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38810.12179
N367SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28499.56159
N368AA,1991,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,114835.9156
N368JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,6313.54074
N368NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26538.56219
N368NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38918.28092
N368SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28510.60098
N36915,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,,Turbo-fan,9144.880036
N369AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115627.3465
N369NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26341.26242
N369NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38846.78543
N369SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28486.94522
N370AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115173.9162
N370NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26899.30038
N370NW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38996.45125
N370SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28043.01017
N371AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115658.9074
N371CA,2003,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,,Turbo-fan,12477.81297
N371DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41045.4336
N371NB,2003,Fixed wing multi engine,AIRBUS,A319-114,2,145,,Turbo-fan,26216.28938
N371NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39002.91778
N371SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28378.69473
N37252,2000,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28188.36251
N37253,2000,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27962.95159
N37255,2000,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27909.95038
N37263,2001,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27963.15644
N37267,2001,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28287.74929
N37273,2001,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27740.11598
N37274,2002,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27691.67354
N37277,2002,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28149.01625
N37281,2003,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27538.26683
N37287,2004,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28244.72504
N37290,2004,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28029.10368
N37293,2005,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27439.05625
N37298,2005,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,28162.9789
N372AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115366.9914
N372DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41674.84671
N372NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38907.25038
N372SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28436.58508
N3730B,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41398.85636
N3731T,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41664.91521
N3732J,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41647.76036
N3733Z,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41427.74187
N3734B,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41706.46317
N3735D,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41928.40006
N3736C,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41949.82852
N3737C,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41362.39184
N3738B,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41441.75872
N3739P,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41603.34769
N373AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115739.2008
N373DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41485.06061
N373JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,5469.006875
N373NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,38569.68686
N373SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28321.69751
N37408,2001,Fixed wing multi engine,BOEING,737-924,2,191,,Turbo-fan,41884.57246
N37409,2001,Fixed wing multi engine,BOEING,737-924,2,191,,Turbo-fan,42083.24997
N3740C,2000,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41151.00038
N37413,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42343.32757
N37419,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41966.48999
N3741S,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41397.57209
N37420,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41813.91401
N37422,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42280.22712
N37427,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42329.18305
N3742C,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41856.46604
N37434,2009,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42475.23929
N37437,2009,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42279.26562
N3743H,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41844.37027
N3744F,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41796.8314
N37456,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41563.88529
N3745B,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41712.02795
N37462,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41547.68798
N37464,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41995.97779
N37465,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42226.09527
N37466,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41494.05189
N37468,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42270.52927
N3746H,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41252.34867
N37470,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41894.57092
N37471,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42118.33522
N37474,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41507.04431
N3747D,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41609.52503
N3748Y,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41599.74331
N3749D,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41832.37875
N374AA,1992,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,114742.678
N374DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41895.89594
N374JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,6372.008799
N374NW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-212,2,182,,Turbo-fan,39337.76171
N374SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28472.44938
N3750D,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41030.73471
N3751B,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41461.94483
N3752,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41007.31173
N3753,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41417.79014
N3754A,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41077.73125
N3755D,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41240.54865
N3756,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41183.15545
N3757D,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41778.8699
N3758Y,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41512.28878
N3759,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41468.07896
N375DA,1998,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41366.51297
N375JB,2013,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2,20,,Turbo-fan,5576.516259
N375NC,2002,Fixed wing multi engine,AIRBUS,A320-212,2,182,,Turbo-fan,39171.39815
N375SW,1993,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28455.52587
N3760C,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41286.98456
N3761R,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41304.62986
N3762Y,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41686.20511
N3763D,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41525.09483
N3764D,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41854.45705
N3765,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41230.32471
N3766,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41761.76406
N3767,2001,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41922.88797
N3768,2002,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41096.52125
N3769L,2002,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41311.87386
N376AA,1978,Fixed wing single engine,PIPER,PA-32RT-300,1,7,,Reciprocating,2892.724067
N376DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41625.73141
N376NW,2002,Fixed wing multi engine,AIRBUS,A320-212,2,182,,Turbo-fan,38853.50894
N376SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,27911.84585
N37700,2002,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41866.54798
N3771K,2002,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,40895.66407
N3772H,2010,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-fan,41503.14433
N3773D,2010,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-fan,40747.79663
N377AA,,Fixed wing single engine,PAIR MIKE E,FALCON XP,1,2,,Reciprocating,
N377DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41907.66155
N377NW,2003,Fixed wing multi engine,AIRBUS,A320-211,2,182,,Turbo-fan,38621.63989
N378AA,1963,Fixed wing single engine,CESSNA,172E,1,4,105,Reciprocating,3615.991946
N378DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41158.21842
N378NW,2003,Fixed wing multi engine,AIRBUS,A320-211,2,182,,Turbo-fan,39160.99138
N378SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,27955.40622
N379AA,1993,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,114389.3907
N379DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41167.6028
N379SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28642.34954
N380DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41356.02638
N380HA,2010,Fixed wing multi engine,AIRBUS,A330-243,2,377,,Turbo-fan,147820.1407
N380SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28229.9634
N381AA,1956,Fixed wing multi engine,DOUGLAS,DC-7BF,4,102,232,Reciprocating,46654.59914
N381DN,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41246.50903
N381HA,2010,Fixed wing multi engine,AIRBUS,A330-243,2,377,,Turbo-fan,148133.4921
N38257,2000,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27971.3814
N38268,2001,Fixed wing multi engine,BOEING,737-824,2,149,,Turbo-fan,27552.37059
N382DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41922.73417
N382HA,2010,Fixed wing multi engine,AIRBUS,A330-243,2,377,,Turbo-fan,147622.8008
N382SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28123.2266
N383AA,1972,Fixed wing multi engine,BEECH,E-90,2,10,,Turbo-prop,7943.422878
N383DN,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,40994.94992
N383HA,2011,Fixed wing multi engine,AIRBUS,A330-243,2,377,,Turbo-fan,147770.1302
N383SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28041.25829
N38403,2001,Fixed wing multi engine,BOEING,737-924,2,191,,Turbo-fan,42672.80526
N38417,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42124.84455
N38424,2008,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41584.33085
N38443,2010,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41726.67302
N38446,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42285.58659
N38451,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41663.76915
N38454,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42417.14566
N38458,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41988.41156
N38459,2012,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41821.4369
N38467,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,42356.8008
N38473,2013,Fixed wing multi engine,BOEING,737-924ER,2,191,,Turbo-fan,41830.85779
N384AA,1993,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115135.8403
N384DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41915.05888
N384HA,2011,Fixed wing multi engine,AIRBUS,A330-243,2,377,,Turbo-fan,147562.0978
N384SW,1994,Fixed wing multi engine,BOEING,737-3H4,2,149,,Turbo-fan,28068.4277
N385DN,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,42001.34232
N385HA,2012,Fixed wing multi engine,AIRBUS,A330-243,2,377,,Turbo-fan,147266.51
N386AA,1994,Fixed wing multi engine,BOEING,767-323,2,330,,Turbo-fan,115223.9628
N386DA,1999,Fixed wing multi engine,BOEING,737-832,2,189,,Turbo-jet,41280.63682
N386HA,2012,Fixed wing multi engine,AIRBUS,A330-243,2,377,,Turbo-fan,147254.6426
